cpp_code,rust_code
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using namespace std;

int main() {
        cout << “Hello, World!” << endl;
        return 0;
}
```","Here is the translation from C++ to Rust.
```
fn main() {
println! (“Hello, World!”);
} 
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
int main() {
int n;
std::cin >> n;
for(int i = 0; i < n; i++) {
                    for(int j = 0; j < n; j++){
                               if (i == j) {
                            std::cout << 1;
                                }
                                else {
                            std::cout << 0;
                                }
}
                        std:: cout << ""\n"";
}
return 0;
};
```","Here is the translation from C++ to Rust.
```
use std::io;

fn main() {
    let mut n = String::new();
    io::stdin().read_line(&mut n).expect(""Failed to read line"");

    let n: usize = n.trim().parse().expect(""Please type a number!"");

    for i in 0..n {
        for j in 0..n {
            if i == j {
                print!(""1"");
            } else {
                print!(""0"");
            }
        }
        println!();
    }
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
bool isPrime(int);
void printPrime(int num1, int num2);

int main(){
    int num1, num2;
    std::cout << ""Enter two positive integers: "";
    std::cin >> num1 >> num2;
    printPrime(num1, num2);
}
// prints the prime number between num1 and num2
void printPrime(int num1, int num2){
    if (num1 > num2){
       // swap if num1 is greater than num2
        std::swap(num1, num2);
    }
    for(int i = num1 + 1 ; i < num2 ; ++i){
        if (isPrime(i)){
            std::cout << i << "" "";
        }
    }
}
// returns true is the given number is true false otherwise
bool isPrime(int n){
    bool is_prime = true;
    // 0 and 1 are not prime numbers
    if (n == 0 || n == 1) {
       return false;
    }
    for(int i = 2; i <= n/2; ++i) {
      if (n % i == 0) {
         return false;
      }
    }
  return is_prime;
}
```","Here is the translation from C++ to Rust.
```
fn main() {
    let (num1, num2) = get_user_input();
    print_primes_between(num1, num2);
}

fn get_user_input() -> (i32, i32) {
    println!(""Enter two positive integers:"");
    let mut num1 = String::new();
    let mut num2 = String::new();
    std::io::stdin().read_line(&mut num1).expect(""Failed to read line"");
    std::io::stdin().read_line(&mut num2).expect(""Failed to read line"");
    let num1: i32 = num1.trim().parse().expect(""Please type a number!"");
    let num2: i32 = num2.trim().parse().expect(""Please type a number!"");
    (num1, num2)
}

fn print_primes_between(num1: i32, num2: i32) {
    let (start, end) = if num1 > num2 { (num2, num1) } else { (num1, num2) };
    for i in (start + 1)..end {
        if is_prime(i) {
            println!(""{}"", i);
        }
    }
}

fn is_prime(n: i32) -> bool {
    if n <= 1 {
        return false;
    }
    for i in 2..=(n / 2) {
        if n % i == 0 {
            return false;
        }
    }
    true
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using namespace std;

// create a class
class Room {

   public:
    double length;
    double breadth;
    double height;

    double calculate_area() {
        return length * breadth;
    }

    double calculate_volume() {
        return length * breadth * height;
    }
};

int main() {

    // create object of Room class
    Room room1;

    // assign values to data members
    room1.length = 42.5;
    room1.breadth = 30.8;
    room1.height = 19.2;

    // calculate and display the area and volume of the room
    cout << ""Area of Room =  "" << room1.calculate_area() << endl;
    cout << ""Volume of Room =  "" << room1.calculate_volume() << endl;

    return 0;
}
```","Here is the translation from C++ to Rust.
```
struct Room {
    length: f64,
    breadth: f64,
    height: f64,
}

impl Room {
    fn calculate_area(&self) -> f64 {
        self.length * self.breadth
    }

    fn calculate_volume(&self) -> f64 {
        self.length * self.breadth * self.height
    }
}

fn main() {
    // create object of Room struct
    let room1 = Room {
        length: 42.5,
        breadth: 30.8,
        height: 19.2,
    };

    // calculate and display the area and volume of the room
    println!(""Area of Room = {}"", room1.calculate_area());
    println!(""Volume of Room = {}"", room1.calculate_volume());
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using namespace std;

int main()
{
    // declare variables
    int var1 = 3;
    int var2 = 24;
    int var3 = 17;

    // print address of var1
    cout << ""Address of var1: ""<< &var1 << endl;

    // print address of var2
    cout << ""Address of var2: "" << &var2 << endl;

    // print address of var3
    cout << ""Address of var3: "" << &var3 << endl;
}
```","Here is the translation from C++ to Rust.
```
fn main() {
    // declare variables
    let var1 = 3;
    let var2 = 24;
    let var3 = 17;

    // print address of var1
    println!(""Address of var1: {:p}"", &var1);

    // print address of var2
    println!(""Address of var2: {:p}"", &var2);

    // print address of var3
    println!(""Address of var3: {:p}"", &var3);
}
```
"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
#include <fstream>

using namespace std;

int main() {

    // open a text file for reading
    ifstream my_file(""example.txt"");

    // check the file for errors
    if(!my_file) {
        cout << ""Error: Unable to open the file."" << endl;
        return 1;
    }

    // store the contents of the file in ""line"" string
    string line;

    // loop until the end of the text file
    while (!my_file.eof()) {

        // store the current line of the file
        // in the ""line"" variable
        getline(my_file, line);

        // print the line variable
        cout << line << endl;
    }

    // close the file
    my_file.close();

    return 0;
}
```","Here is the translation from C++ to Rust.
```
use std::fs::File;
use std::io::{self, BufRead};

fn main() {
    // open a text file for reading
    let file = File::open(""example.txt"").expect(""Error: Unable to open the file."");

    // create a buffered reader for the file
    let reader = io::BufReader::new(file);

    // loop through each line of the file
    for line in reader.lines() {
        // print the line
        println!(""{}"", line.unwrap());
    }
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>

using namespace std;

void display(char *);
void display(string);

int main()
{
    string str1;
    char str[100];

    cout << ""Enter a string: "";
    getline(cin, str1);

    cout << ""Enter another string: "";
    cin.get(str, 100, '\n');

    display(str1);
    display(str);
    return 0;
}

void display(char s[])
{
    cout << ""Entered char array is: "" << s << endl;
}

void display(string s)
{
    cout << ""Entered string is: "" << s << endl;
}
```","Here is the translation from C++ to Rust.
```
use std::io;

fn display(s: &str) {
    println!(""Entered string is: {}"", s);
}

fn main() {
    let mut str1 = String::new();
    let mut str = String::new();

    println!(""Enter a string: "");
    io::stdin().read_line(&mut str1).expect(""Failed to read line"");

    println!(""Enter another string: "");
    io::stdin().read_line(&mut str).expect(""Failed to read line"");

    display(&str1);
    display(&str);
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
// C++ Program to Create a new thread using function pointer
// Function

#include <iostream>
#include <thread>

using namespace std;

// Function to be executed by the new thread
void myFunction()
{
    cout << ""Hello from the new thread!"" << endl;
}

int main()
{
    // Create a new thread that calls myFunction
    thread newThread(myFunction);

    // Wait for the new thread to finish execution
    newThread.join();

    cout << ""Hello from the main thread!"" << endl;

    return 0;
}
```","Here is the translation from C++ to Rust.
```
use std::thread;

// Function to be executed by the new thread
fn my_function() {
    println!(""Hello from the new thread!"");
}

fn main() {
    // Create a new thread that calls my_function
    let new_thread = thread::spawn(my_function);

    // Wait for the new thread to finish execution
    new_thread.join().unwrap();

    println!(""Hello from the main thread!"");
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
// Factorial of n = 1*2*3*...*n

#include <iostream>
using namespace std;

int factorial(int);

int main() {
    int n, result;

    cout << ""Enter a non-negative number: "";
    cin >> n;

    result = factorial(n);
    cout << ""Factorial of "" << n << "" = "" << result;
    return 0;
}

int factorial(int n) {
    if (n > 1) {
        return n * factorial(n - 1);
    } else {
        return 1;
    }
}
```","Here is the translation from C++ to Rust.
```
// Factorial of n = 1*2*3*...*n

use std::io;

fn factorial(n: i32) -> i32 {
    if n > 1 {
        n * factorial(n - 1)
    } else {
        1
    }
}

fn main() {
    let mut input = String::new();
    println!(""Enter a non-negative number: "");
    io::stdin().read_line(&mut input).expect(""Failed to read line"");
    let n: i32 = input.trim().parse().expect(""Please type a number!"");

    let result = factorial(n);
    println!(""Factorial of {} = {}"", n, result);
}
```"
"Translate the following C++ code to Rust, ensuring the result is idiomatic, safe, and efficient. Utilize Rust best practices such as ownership, borrowing, and error handling with Result where applicable. Optimize for performance while maintaining readability, following Rust's rustfmt conventions. Ensure the translated code is well-structured, properly indented, and free of unnecessary allocations:
```
#include <iostream>
using std::cout;

class Test {
public:
int x;
mutable int y;
Test() { x = 4; y = 10; }
};
int main()
{
        const Test t1;
        t1.y = 20;
        cout << t1.y;
        return 0;
}
```","Here is the translation from C++ to Rust.
```
struct Test {
    x: i32,
    y: i32,
}

impl Test {
    fn new() -> Self {
        Test { x: 4, y: 10 }
    }
}

fn main() {
    let mut t1 = Test::new();
    t1.y = 20;
    println!(""{}"", t1.y);
}
```"
